year,sci,ssci,Bsc,MS,PhD,經常收入,經常支出,資本收入,資本支出
2016,"5,014",514,16499,11471,3813,16679243,17317812,940498,1530420
2015,"5,260",526,16532,11260,3965,16678176,17328644,245893,1516733
2014,"5,420",536,16505,11012,4265,16539756,17220315,206367,1623779
2013,"5,493",535,16575,10989,4591,16592467,17290787,265087,2624209
2012,"5,485",508,16925,10860,4889,16821921,17603194,187695,2357127
2011,"5,178",487,33080,10675,5069,16389705,17130854,205445,2122668
2010,"4,783",410,17514,10653,5171,16574949,17237640,279087,2523040
